Title,y,"Genre (0: boys, 1: girls)",N,M,<s>,s_{CV},s_{P},<k>,k_{CV},k_{P}/(N-1),\alpha,r,C,\tau_{CV}^{node},\tau_{CV}^{edge},N_{I}/N,O,Character_bipartite_cv,Character_bipartite_cv(ratio_to_Poisson),Page_bipartite_cv,Page_bipartite_cv(ratio_to_Poisson)
Ace of Diamond,2006,0,29,180,126,1.212922847,792,12.4137931,0.452496504,0.928571429,2.289475866,-0.208462795,0.809752421,1.828895121,1.590756836,0.715814507,0.040857686,1.563619757,11.11729514,0.530748374,0.876121867
Ahiru no Sora,2004,0,22,107,282.6363636,1.124461223,1008,9.727272727,0.509495819,0.761904762,2.513454409,-0.145132806,0.800528683,1.423062365,1.685167081,0.704545455,0.070383789,1.232204686,10.75495314,0.848462953,1.404087524
Air Gear,2002,0,19,86,143.0526316,1.12097648,679,9.052631579,0.484131646,1,1.987648532,-0.43750674,0.796560294,2.310359259,2.580361912,0.806094183,0.066814929,1.345279182,10.97259016,0.483433335,0.772516085
Asari-chan,1978,1,39,61,53.33333333,2.946409361,677,3.128205128,1.209565033,0.5,1.928559911,-0.346318835,0.673689314,1.400239343,1.540314522,0.120973044,0.044404035,2.983280364,16.64451364,0.301167452,0.475015156
Ashita no Joe,1967,0,19,105,348.9473684,1.050927878,1074,11.05263158,0.402993335,0.944444444,2.965214712,-0.287544188,0.86452299,2.759632047,2.865862776,0.689750693,0.089439454,1.169898999,12.0657612,0.657109946,1.136181856
Assassination Classroom,2012,0,45,580,340.6666667,0.870378073,1311,25.77777778,0.463204665,0.863636364,1.950600257,-0.1187987,0.895352229,1.193476264,1.296515437,0.812839506,0.023905331,1.08605946,8.043034352,0.704319773,1.546348859
Astro Boy,1952,0,81,384,55.2345679,2.215757025,843,9.481481481,1.184592452,0.9,1.488940252,-0.356746034,0.780098584,1.834971781,1.526089496,0.44459686,0.0141321,2.4750819,11.22971849,0.537504802,0.90457679
Attack on Titan,2009,0,36,177,120.7222222,1.374452502,642,9.833333333,0.762711864,0.857142857,1.701536693,-0.335333573,0.72355562,2.474784704,2.1512323,0.62654321,0.037744074,1.816263689,11.3304385,0.724890621,1.188701161
Baby Steps,2007,0,23,103,139.5652174,1.422624,833,8.956521739,0.62162464,0.954545455,2.140930485,-0.430645128,0.751187197,1.806987989,2.09982968,0.608695652,0.053186028,1.796723744,14.01284268,0.527927263,0.84738941
Bad Boys,1988,0,33,176,170.5454545,1.546321275,940,10.66666667,0.677876866,0.875,1.846552484,-0.337212963,0.776452674,2.132427254,1.571876519,0.641873278,0.05037317,1.522899445,11.41174262,0.511371062,0.914817736
Baki the Grappler,1991,0,24,81,93.83333333,1.333493697,515,6.75,0.64753057,0.782608696,1.575759959,-0.234628034,0.773132736,1.735923487,1.901748647,0.574652778,0.044645439,1.577156711,11.01302682,0.52029702,0.778849851
Bakuman,2008,0,31,109,84.32258065,1.993103355,764,7.032258065,0.795841815,0.866666667,2.008229728,-0.38955406,0.779196359,1.742578414,2.078682176,0.470343392,0.054506462,2.29789114,15.27597318,0.350544358,0.564125107
Banana Fish,1985,1,29,125,95.03448276,1.406301251,547,8.620689655,0.710132382,0.928571429,1.765606589,-0.391402606,0.727587023,2.593182685,2.395779049,0.653983353,0.046749636,1.526584693,10.53461683,0.446725469,0.705951698
Bastard!!,1988,0,19,86,126.4210526,1.026320101,477,9.052631579,0.449746037,0.944444444,2.439296928,-0.359071545,0.783975098,2.598703635,2.765937401,0.753462604,0.063041468,1.124013999,9.243713651,0.43603801,0.677036852
Be-Bop High School,1983,0,28,92,101.4285714,2.048831805,845,6.571428571,0.92512708,1,1.845965573,-0.469335605,0.831198035,2.295093275,2.234887052,0.575255102,0.055757386,2.19916485,16.34646792,0.404994787,0.632131929
Black Cat,2000,0,24,95,111,1.341888792,610,7.916666667,0.663324958,0.956521739,1.872989021,-0.410624551,0.817827445,2.089906782,2.052378406,0.689236111,0.052654948,1.450997337,11.0584022,0.401344874,0.635494375
Black Clover,2015,0,46,316,128.1304348,1.374770656,975,13.73913043,0.641999623,0.955555556,1.753321032,-0.277848914,0.777851575,2.119932274,1.820360284,0.663988658,0.027844845,1.639706461,9.808488961,0.60534966,1.108359051
Black Jack,1973,0,47,71,22.68085106,2.280475264,360,3.021276596,1.692515937,0.804347826,1.001189462,-0.39037207,0.711954508,1.561517495,2.713992557,0.293798099,0.01813767,2.580106414,11.69707441,0.50209067,0.650783888
Bleach,2001,0,38,154,69.89473684,1.761327535,659,8.105263158,0.758851739,0.918918919,2.031476945,-0.270934121,0.80199666,1.742684396,1.572748147,0.515927978,0.037505464,2.053794615,12.04028594,0.387077711,0.6287343
Blue Exorcist,2009,0,19,114,308.6315789,0.925602812,1046,12,0.347295314,1,2.768827259,-0.189511485,0.860301334,2.31898738,2.23118776,0.894736842,0.102387213,1.093062234,10.35452737,0.5860934,1.065379098
Boys Over Flowers,1992,1,28,122,115.6428571,1.454400687,725,8.714285714,0.686374473,1,2.3559071,-0.353007114,0.792058844,1.820805068,1.504762263,0.489795918,0.047384677,1.75662518,12.18835329,0.486477227,0.806880873
Bride of Deimos,1975,1,54,121,30.7037037,2.149693216,430,4.481481481,1.360527385,0.716981132,1.404821126,-0.366659798,0.768240765,1.709728635,1.605446702,0.340877915,0.019983635,2.243307144,10.63217852,0.373532492,0.538334685
Candy Candy,1975,1,46,251,107,1.837860677,1122,10.91304348,0.767808781,0.911111111,1.904381072,-0.296851715,0.755932992,1.820400475,1.982072093,0.609640832,0.032867015,2.136508038,13.37962316,0.468370418,0.818995883
Captain Tsubasa,1981,0,35,310,251.7714286,1.13452326,1138,17.71428571,0.477212248,0.794117647,1.75333668,0.028963611,0.846596866,1.352289507,1.43929754,0.71755102,0.030034372,1.322085137,10.18139091,0.589316145,1.149650542
Cardcaptor Sakura,1996,1,16,84,196.125,1.06396969,855,10.5,0.299281074,1,3.168533837,-0.292832421,0.833203949,2.087777547,1.834861468,0.90234375,0.08875395,1.28181919,12.07991329,0.406219132,0.674112782
Case Closed,1994,0,54,295,163.7037037,1.613768235,1354,10.92592593,0.832505382,0.924528302,1.910533264,-0.291326053,0.876492875,1.404784437,1.54908809,0.557956104,0.041843659,1.884899441,11.54830327,0.531747654,1.087080205
Cat's Eye,1981,0,23,92,154.4347826,1.469496972,764,8,0.617894391,0.954545455,2.219464001,-0.41639389,0.802468787,1.775138018,1.566352902,0.638941399,0.062076489,1.601730442,12.7308769,0.469999966,0.789454344
Chameleon,1990,0,20,91,135.6,1.14936982,667,9.1,0.494993654,0.842105263,2.636839326,-0.269864989,0.83046287,1.932706672,1.987979524,0.7675,0.055377426,1.400587528,11.18717918,0.496716847,0.786457641
Chibi Maruko-chan,1986,1,102,297,31.84313725,3.218798794,850,5.823529412,1.912223749,0.98019802,1.539186265,-0.390848119,0.761055367,1.385436723,1.518346145,0.244905805,0.011985198,3.759950106,13.60771564,0.463429147,0.778853909
Chihayafuru,2007,1,34,190,150.7647059,1.604351993,1047,11.17647059,0.669725209,1,2.175817611,-0.333655647,0.830634864,2.049747328,2.0975439,0.589100346,0.051167601,1.971627724,13.83449098,0.502120562,0.904400683
Circuit no Okami,1975,0,13,32,81.23076923,1.116853507,306,4.923076923,0.619507113,0.833333333,2.033079005,-0.202135774,0.598168498,2.348633123,2.823955763,0.579881657,0.041018458,1.369225483,10.76120909,0.704478246,0.87627754
City Hunter,1985,0,31,74,58.77419355,1.857137799,581,4.774193548,1.007640642,0.9,1.821768483,-0.352937821,0.731386296,1.144275401,1.219443593,0.424557752,0.043345733,2.064876047,12.65832093,0.413319651,0.611636227
Cobra,1978,0,21,40,46.28571429,1.656988743,363,3.80952381,1.020263446,0.95,1.474904616,-0.477983371,0.688373712,2.042401028,2.404582773,0.532879819,0.023020338,2.036887244,13.03521034,0.514153863,0.659272893
Crest of the Royal Family,1976,1,32,163,108.1875,1.497991192,836,10.1875,0.607795594,1,2.106214842,-0.296953433,0.817333824,2.127090302,2.271851646,0.729492188,0.040671024,1.769841081,11.77310206,0.531141997,0.870636683
Crows,1990,0,18,71,118.6666667,1.009912524,422,7.888888889,0.458774577,0.764705882,2.621389791,-0.111471773,0.796644405,2.64082889,2.125505892,0.712962963,0.054278332,1.123283549,9.079392829,0.543696604,0.801607273
Cyborg 009,1964,0,29,145,278.8965517,1.23202984,1194,10,0.637343625,0.857142857,2.007720889,-0.266106712,0.760043184,2.528902822,2.629251788,0.646848989,0.063235343,1.362020185,10.91961934,0.788158601,1.430304015
D.Gray-man,2004,0,29,107,106.4137931,1.397224898,728,7.379310345,0.734016811,0.892857143,1.82509842,-0.320024966,0.785756542,1.843807426,2.756792572,0.542211653,0.043772937,1.517269979,10.34448352,0.479409893,0.784037201
Days,2013,0,28,119,113.7142857,1.509414922,806,8.5,0.650867325,0.777777778,2.077547287,-0.087698859,0.809146712,2.018862627,2.339705319,0.579081633,0.047525296,1.783967867,12.833414,0.48092435,0.774986005
Dear Boys,1989,0,21,151,919.3333333,0.722546195,2041,14.38095238,0.31058826,0.95,2.638515342,-0.117694821,0.860636721,1.453487648,1.543684915,0.839002268,0.118990981,0.777594084,9.44308509,0.561265899,1.316391477
Death Note,2003,0,28,90,99.5,1.353860081,439,6.428571429,0.778253823,0.703703704,2.165768035,-0.333251472,0.71703078,2.470757621,2.69268836,0.457908163,0.048425439,1.59570895,10.8603708,0.519044955,0.817380209
Demon Slayer: Kimetsu no Yaiba,2016,0,29,106,76.82758621,1.51153359,603,7.310344828,0.684531318,0.928571429,1.567735655,-0.235274124,0.755898866,2.689242776,2.692337013,0.640903686,0.03735121,1.991974951,12.64172374,0.553982684,0.826300394
Dobutsu no Oisha-san,1988,1,35,150,140.4,1.978419664,1150,8.571428571,0.916212008,1,2.312310665,-0.542110281,0.825262503,1.533688799,1.65976947,0.539591837,0.053650498,2.112015195,14.73229275,0.378234602,0.697348253
Dokaben,1972,0,46,325,206.6956522,1.554940846,1560,14.13043478,0.682570845,0.866666667,1.982525224,-0.286541046,0.785383611,1.983355458,1.950893599,0.694706994,0.039404463,1.720968961,12.50569634,0.510350382,1.007716055
Doraemon,1969,0,46,203,107.0434783,2.344750935,1207,8.826086957,0.975879351,0.866666667,2.059168054,-0.437803372,0.814984819,1.186993052,1.359141473,0.527410208,0.039247515,2.623392291,16.30985877,0.374931008,0.681594535
Dr. Slump,1980,0,21,85,140.3809524,1.531772373,792,8.095238095,0.636654317,0.95,2.31273614,-0.509067796,0.787775028,1.660524252,1.883045918,0.64399093,0.076360809,1.763296593,13.57019961,0.473672501,0.773207309
Dr. Toilet,1970,0,76,222,35.57894737,1.834600749,368,5.842105263,1.16724915,0.52,1.374474267,-0.26661023,0.759304777,2.261828614,2.583595468,0.31284626,0.015713029,1.773861129,7.492774556,0.540094955,0.822284365
Dragon Ball,1984,0,21,100,240.4761905,1.201885719,1096,9.523809524,0.441474801,1,2.290272213,-0.291006196,0.821274298,2.603866941,3.798712561,0.746031746,0.109464265,1.393316963,12.25874209,0.451453363,0.819360352
Dragon Quest: The Adventure of Dai,1989,0,24,118,173.25,1.28272169,925,9.833333333,0.488300349,1,2.421128632,-0.285613134,0.770318253,2.292312503,2.789061039,0.802083333,0.063670021,1.334292293,10.69863373,0.470326721,0.818083303
Eyeshield 21,2002,0,22,128,199.7272727,1.236135445,923,11.63636364,0.473220866,1,2.007318737,-0.363901545,0.77399059,1.212378682,1.386329025,0.789256198,0.057344963,1.416987941,11.92828127,0.489234672,0.858746594
Fairy Tail,2006,0,41,246,139.1707317,1.687689026,980,12,0.718983775,0.925,1.425693833,-0.350855773,0.766138755,2.036709067,2.133849507,0.700773349,0.047501168,1.799960636,11.71577408,0.490756216,0.911972464
Fire Force,2015,0,29,163,138.9655172,1.361801205,810,11.24137931,0.586202659,0.964285714,2.119344427,-0.373782101,0.819972913,2.528740181,2.473377987,0.739595719,0.040969567,1.49333347,10.72206403,0.574404371,0.957518546
Fisherman Sanpei,1973,0,20,68,128.2,1.437812705,701,6.8,0.5,0.789473684,1.457966943,-0.190635452,0.754490232,1.962731746,2.042068008,0.55,0.051810608,1.703747088,14.32711365,0.56743947,0.814922896
Fist of the North Star,1983,0,26,81,76.23076923,1.592403237,571,6.230769231,0.846106948,0.92,1.676328424,-0.459524269,0.850685365,2.371566496,3.003530373,0.576923077,0.045091466,1.757028329,11.6446152,0.535100072,0.780334698
Flame of Recca,1995,0,22,108,162.5454545,1.35088951,842,9.818181818,0.557558119,1,2.363280005,-0.439355301,0.845735969,2.0550749,2.302462491,0.644628099,0.075585879,1.449039388,11.74770404,0.397084813,0.687771071
Food Wars!: Shokugeki no Soma,2012,0,37,134,64.37837838,1.69122616,586,7.243243243,0.857933116,0.888888889,1.661140479,-0.336974857,0.720307988,2.391177476,2.423863531,0.466033601,0.026825618,1.910237845,10.56327803,0.51233377,0.796312455
Fullmetal Alchemist,2001,0,38,167,87.10526316,1.610785473,736,8.789473684,0.70480848,0.864864865,1.666468747,-0.243738661,0.735331228,1.994570689,2.224495954,0.560249307,0.040442408,1.782964595,10.84535023,0.44450697,0.743908253
Fushigi Yugi,1992,1,22,78,107.2727273,1.597845118,693,7.090909091,0.633416376,1,1.964900054,-0.340113531,0.841673226,1.653667219,2.042099772,0.710743802,0.053884383,1.868350959,14.18426203,0.416367937,0.650182436
GetBackers,1999,0,32,131,122.875,1.723801303,888,8.1875,0.819571506,0.903225806,1.708263095,-0.415965002,0.822259869,1.716669103,2.153467398,0.609375,0.053762417,1.936272371,13.49326242,0.480904697,0.81430084
Gin Tama,2004,0,37,158,105.0810811,1.69008554,793,8.540540541,0.89776423,0.916666667,1.723677092,-0.437603941,0.797984528,2.376085877,2.179173898,0.644996348,0.045294049,1.77333519,11.11660498,0.441800821,0.774601174
Glass Mask,1976,1,49,207,77.26530612,2.01628246,863,8.448979592,0.939908427,0.9375,1.778381483,-0.320511222,0.733122809,1.58361547,1.623974199,0.47938359,0.022241192,2.336775439,12.9031052,0.513035508,0.858128042
Great Teacher Onizuka,1996,0,48,122,29.625,2.230293431,453,5.083333333,1.190416809,0.893617021,1.442650786,-0.298896051,0.708470293,1.099595424,1.168347292,0.319878472,0.021628232,2.935586321,13.40575492,0.475402733,0.66799734
H2,1992,0,21,61,77.61904762,1.469827776,442,5.80952381,0.765417543,0.9,1.788837233,-0.444817964,0.678041147,1.487971691,1.525247787,0.614512472,0.032593514,1.470853987,10.30597886,0.533138072,0.755806021
Haikyu!!,2012,0,37,308,264.1081081,1.460555477,1484,16.64864865,0.533816987,0.972222222,1.802806534,-0.292075594,0.802873867,2.390060718,2.558497531,0.718772827,0.053645418,1.640002004,12.72626933,0.462105379,0.973524215
Hajime no Ippo,1989,0,27,115,145.037037,1.493644378,935,8.518518519,0.711822921,0.961538462,2.348964352,-0.432474967,0.831211658,1.493861736,1.72247246,0.566529492,0.050710519,1.761185189,13.14895964,0.467135626,0.803252986
Hayate the Combat Butler,2004,0,20,83,158.7,1.422574089,771,8.3,0.590361446,1,2.057393976,-0.421774963,0.804337687,2.031193244,1.847542524,0.7025,0.0750229,1.611891024,13.60592621,0.447609842,0.733954478
High School! Kimengumi,1980,0,64,896,317.34375,1.16336261,1484,28,0.57687831,0.841269841,1.77564361,-0.067247649,0.853803765,1.779607895,1.518348991,0.701416016,0.032876017,1.452580943,9.422551765,0.748696921,1.751627168
Hikaru no Go,1999,0,37,129,75.51351351,1.680665491,635,6.972972973,0.847765775,0.805555556,1.766836396,-0.33954904,0.709686528,1.771810325,1.624719602,0.50109569,0.035799034,1.833506961,11.12015302,0.39680722,0.644441912
Hoshin Engi,1996,0,44,182,86.45454545,1.794565941,845,8.272727273,0.81958428,0.76744186,1.687717385,-0.265199542,0.710264321,1.548777603,1.793466268,0.592458678,0.03813203,1.980592764,11.74774005,0.375882406,0.654224834
Hunter Hunter,1998,0,47,413,125.2765957,1.619140712,866,17.57446809,0.616397555,0.956521739,1.057740935,-0.2708545,0.845912261,1.751424581,2.185818594,0.670891806,0.030288803,1.836119549,10.84280138,0.648537213,1.166058658
Itazura na Kiss,1990,1,21,86,188.0952381,1.352361652,995,8.19047619,0.602410877,1,3.013697093,-0.42070857,0.830407203,1.647666841,1.749634394,0.612244898,0.077123076,1.563027448,13.41968852,0.409673808,0.714438394
Jigoku Sensei Nube,1993,0,36,166,144.0555556,1.89205757,1044,9.222222222,0.902569677,0.942857143,2.058310718,-0.558924585,0.841551092,1.387268965,1.550887925,0.617283951,0.049616802,2.016146361,13.59763102,0.450374849,0.829612618
JoJoÅfs Bizarre Adventure,1986,0,17,66,108.1176471,1.284036166,515,7.764705882,0.51235874,0.875,2.431675626,-0.455861029,0.829485547,1.902066535,2.113347472,0.6816609,0.056782452,1.507515547,11.88613313,0.574050783,0.809303017
Jujutsu Kaisen,2018,0,45,200,57.37777778,1.554373868,471,8.888888889,0.711600309,0.818181818,1.592976358,-0.251453182,0.723746208,2.094832554,2.347894135,0.534814815,0.028075479,1.80687114,9.538271772,0.463489607,0.735485469
Karakuri Circus,1997,0,22,106,159.1818182,1.477706459,752,9.636363636,0.534248873,0.952380952,2.142215682,-0.389522137,0.840148754,1.662143326,1.893020566,0.75,0.067828366,1.65607884,13.61065647,0.480705017,0.793761095
Kare Kano,1996,1,9,24,139.5555556,1.012080165,431,5.333333333,0.364434493,1,2.704619025,-0.41789748,0.755555556,1.340229155,1.22647808,0.827160494,0.128925667,1.379212885,13.53691182,0.512313311,0.713495811
Keiji,1990,0,27,115,94,1.395379933,682,8.518518519,0.65115863,1,1.626235568,-0.345260623,0.757339655,2.345240092,2.329466364,0.703703704,0.049333502,1.445012049,10.04988691,0.425371958,0.671544508
Kekkaishi,2003,0,33,151,127.6363636,1.571794295,960,9.151515152,0.729860216,0.9375,2.074937181,-0.365811355,0.782354031,1.391051507,1.773612987,0.684113866,0.055901033,1.848924731,12.72045882,0.485114788,0.839169666
Kenichi: The Mightiest Disciple,2002,0,26,117,142.3846154,1.344611264,865,9,0.582263977,0.96,1.606951747,-0.341068728,0.783912418,1.524919671,1.471807557,0.859467456,0.055282494,1.581452446,12.04797571,0.471206515,0.792109602
Kimagure Orange Road,1984,0,25,80,88.32,1.928161314,704,6.4,0.880562675,0.958333333,2.026374031,-0.560059576,0.771659544,1.448205232,1.444557554,0.5088,0.061748149,2.174115831,15.38561421,0.341920211,0.537838242
Kimi ni Todoke,2005,1,15,62,208.4,1.250464011,851,8.266666667,0.438312201,1,2.942611586,-0.512114243,0.828325008,1.884258844,1.986032517,0.977777778,0.111809037,1.424712523,13.94472636,0.421639548,0.69231879
