Title,y,"Genre (0: boys, 1: girls)",N,M,<s>,s_{CV},s_{P},<k>,k_{CV},k_{P}/(N-1),\alpha,r,C,\tau_{CV}^{node},\tau_{CV}^{edge},N_{I}/N,O,Character_bipartite_cv,Character_bipartite_cv(ratio_to_Poisson),Page_bipartite_cv,Page_bipartite_cv(ratio_to_Poisson)
Kinnikuman,1979,0,91,525,75.75824176,2.309796371,1218,11.53846154,1.157013122,0.866666667,1.641394926,-0.352763819,0.838086021,1.635231341,1.813715447,0.402246106,0.01775849,2.663118993,12.05939986,0.490206961,0.953700112
KochiKame: Tokyo Beat Cops,1976,0,22,65,105.3636364,1.638726554,730,5.909090909,0.793613562,1,1.803660374,-0.443603656,0.764171939,2.386517834,2.586229537,0.617768595,0.070712018,2.007429874,15.23411922,0.461140766,0.704404156
Kuroko's Basketball,2009,0,24,172,294.8333333,1.037338942,1018,14.33333333,0.409130514,0.913043478,2.298063013,-0.249127489,0.834710041,1.348631212,1.495660527,0.737847222,0.049472201,1.144487478,10.19921795,0.522791535,1.005741522
Kyo Kara Ore Wa!!,1988,0,33,105,86.06060606,1.966204876,760,6.363636364,1.01606149,0.90625,1.796218164,-0.482819647,0.822323004,2.580609512,1.561335451,0.525252525,0.054416963,2.142865254,13.76153742,0.36292527,0.599371375
L DK,2009,1,14,31,95,1.717062123,537,4.428571429,0.799323335,1,1.918348653,-0.619764114,0.866300366,0.763377963,1.92811528,0.56122449,0.119263312,1.859240691,15.83086404,0.268497762,0.394151549
Life,2002,1,8,19,135,1.017534879,454,4.75,0.345128343,1,2.84601619,-0.433962264,0.700595238,1.778613844,2.359865463,0.875,0.141791039,1.231207465,13.73086151,0.336045296,0.460004522
Magi: The Labyrinth of Magic,2009,0,29,120,107.2413793,1.422864715,699,8.275862069,0.667811517,0.821428571,2.062169299,-0.276840902,0.720713535,2.373800015,2.827722125,0.53745541,0.056506158,1.602755141,11.34100358,0.420856944,0.687572273
Magical Circle Guru Guru,1992,0,50,186,82.64,2.058200784,893,7.44,1.104495277,0.857142857,1.722552397,-0.382364202,0.781900808,2.485190627,1.912275729,0.4816,0.035748586,2.303555785,12.72180264,0.487979892,0.844652277
Magical Taruruto,1988,0,15,50,229.0666667,1.185874176,897,6.666666667,0.524404424,0.857142857,2.971157409,-0.442993908,0.722410182,1.752804153,1.820630404,0.626666667,0.116683741,1.351659785,13.36253169,0.404050301,0.68504221
Major,1994,0,54,232,59.55555556,1.992096177,592,8.592592593,0.985609145,0.735849057,1.660934305,-0.375990227,0.776701036,2.455748772,2.242534325,0.529835391,0.023136781,2.341208735,11.94211965,0.463603691,0.762783637
Marmalade Boy,1992,1,16,50,174.625,1.072541218,683,6.25,0.59464275,1,2.767412078,-0.489425772,0.833619505,2.581613424,2.031510777,0.7578125,0.096673595,1.289799267,11.75505391,0.428378765,0.693563844
Miyuki,1980,0,23,81,97.47826087,1.709703782,669,7.043478261,0.707376165,0.909090909,2.303493233,-0.470906214,0.793657791,1.36774056,1.625594596,0.533081285,0.057815486,1.967453751,14.63709246,0.395096037,0.610595038
Monkey Turn,1996,0,47,268,122.5957447,1.607815487,1178,11.40425532,0.659086632,0.934782609,2.146453907,-0.243275963,0.790165714,2.167763747,2.469179176,0.589406971,0.03198097,1.872569743,11.69100396,0.451371359,0.837608192
My Hero Academia,2014,0,45,554,238.7555556,1.068278722,1227,24.62222222,0.449596198,0.931818182,1.93618733,-0.204060611,0.849436656,1.424918789,1.720761849,0.8,0.027942686,1.443150898,9.764254648,0.727836176,1.467111996
Nana,2000,1,34,131,82.88235294,1.674934591,635,7.705882353,0.865697321,0.939393939,1.985565389,-0.432927991,0.78860396,2.560800024,2.481497531,0.461072664,0.047674639,1.893099109,11.89794341,0.42293242,0.685643768
Naruto,1999,0,23,119,263.2173913,1.343746631,1077,10.34782609,0.498178307,0.909090909,2.232769857,-0.203460322,0.844669179,1.605450937,2.001202479,0.725897921,0.089002732,1.344587385,12.14019745,0.439414884,0.827270548
Natsume's Book of Friends,2003,1,41,141,65.95121951,2.309694111,853,6.87804878,1.132666524,1,1.44045951,-0.457182825,0.796569687,2.107541426,2.925497548,0.555621654,0.035856293,2.543436732,14.86253973,0.346734033,0.560897621
Nisekoi,2011,0,16,55,201.625,1.31505071,861,6.875,0.553575904,0.8,2.514553091,-0.419641057,0.721703644,1.698072794,2.045989279,0.640625,0.101543735,1.476361199,13.91817938,0.43667432,0.723506724
Nodame Cantabile,2001,1,28,96,74.5,2.012596507,596,6.857142857,0.850984928,0.962962963,2.08058389,-0.471490547,0.759582123,1.490111868,1.747026278,0.50127551,0.047764709,2.143811193,14.02283834,0.373512884,0.57932107
Nura: Rise of the Yokai Clan,2008,0,42,359,150.5714286,1.248612296,906,17.0952381,0.500409125,0.87804878,1.826236031,-0.139161433,0.781387154,2.178399097,2.465543889,0.838435374,0.038300044,1.322296065,8.506069882,0.57138143,1.068495784
One Piece,1997,0,34,130,119.7058824,1.476040622,885,7.647058824,0.768999965,0.939393939,1.938609663,-0.2889193,0.876600194,1.720285851,1.923837753,0.60467128,0.052377835,1.661341668,11.08786662,0.462152891,0.797155575
One-Punch Man,2009,0,41,76,23.65853659,2.122672652,282,3.707317073,1.337776818,0.775,1.476320415,-0.37282586,0.641684463,2.180378123,2.668198783,0.259964307,0.015493546,2.491879851,11.15668196,0.509301292,0.657629422
Osomatsu-kun,1962,0,124,950,154.1774194,3.113242106,2380,15.32258065,1.514347267,0.959349593,1.729453013,-0.624024497,0.90659366,1.09882367,1.176111566,0.492845994,0.022504017,3.007272035,15.21810395,0.561827247,1.293383051
Ouran High School Host Club,2002,1,29,159,282.8965517,1.557867815,1295,10.96551724,0.679696449,1,2.491860847,-0.531736432,0.835635889,1.31172607,1.112302337,0.683709869,0.070250087,1.577676485,12.82379911,0.476163303,0.988038047
Patalliro!,1978,1,78,177,31.92307692,1.828468497,457,4.538461538,0.983927137,0.493506494,1.481588236,-0.166143835,0.83112304,3.418619634,3.174632415,0.126397107,0.018931991,2.158939556,8.801552847,0.368873165,0.588987138
Peach Girl,1997,1,14,32,122.5714286,1.528488904,547,4.571428571,0.654760214,0.769230769,2.903054861,-0.535380213,0.677210884,1.436529447,1.834133842,0.382653061,0.098478905,1.607529708,14.41664436,0.344282615,0.517170822
Play Ball,1973,0,16,50,205.125,1.189838064,804,6.25,0.607947366,1,2.630460246,-0.446536395,0.881410256,2.034224171,2.081943436,0.7265625,0.080549946,1.323783197,12.44901794,0.529958534,0.853146844
Psychometrer Eiji,1996,0,38,191,105.1052632,1.71193555,912,10.05263158,0.777253301,1,2.026510809,-0.369964512,0.813622017,1.99534545,2.201142492,0.541551247,0.037461163,2.019237141,13.13525625,0.466484241,0.789063294
Ranma 1/2,1987,0,14,54,241.2857143,1.078344239,908,7.714285714,0.428334574,1,2.735012811,-0.465224851,0.836032618,1.898680773,2.063509504,0.903061224,0.121852557,1.246654743,12.86533199,0.39826838,0.668631469
Rave Master,1999,0,24,77,135.5,1.444195779,851,6.416666667,0.665639846,0.826086957,2.268738381,-0.312563505,0.78470458,1.639081031,1.664687058,0.555555556,0.077418776,1.517345697,11.75330923,0.618489236,0.949495229
Reborn!,2004,0,28,155,223.8571429,1.434979022,1319,11.07142857,0.608267699,0.962962963,2.386152657,-0.420337336,0.802932199,1.805235256,1.855432266,0.664540816,0.072083981,1.555635991,12.74360662,0.414989883,0.798121561
Red River,1995,1,23,110,140.173913,1.28023892,727,9.565217391,0.517543466,0.954545455,2.031468159,-0.194607115,0.801080086,2.29468453,2.241192113,0.739130435,0.053627065,1.605844186,12.42077523,0.524880391,0.849747536
Ring ni Kakero,1977,0,26,82,69.76923077,1.719277281,481,6.307692308,0.789957792,0.84,2.072471784,-0.37981483,0.754656455,2.215923869,2.653757718,0.50591716,0.0600913,1.963660217,11.75045025,0.422031076,0.667648383
Rokudenashi Blues,1988,0,22,126,242.7272727,0.988231896,997,11.45454545,0.441814783,1,2.232950853,-0.287501765,0.84259935,1.811282859,1.937760452,0.896694215,0.080740018,1.024243667,9.338966114,0.374298841,0.694016057
Rookies,1998,0,34,192,152.6470588,1.348587219,803,11.29411765,0.655070865,0.939393939,1.704084627,-0.311032388,0.784620598,2.006026046,2.097697998,0.727508651,0.04065722,1.495318094,10.63551081,0.524694405,0.93126726
Rough,1987,0,24,66,61.41666667,1.560192898,388,5.5,0.831540772,0.782608696,1.821573088,-0.362425866,0.639654762,1.769106038,1.907290183,0.493055556,0.039759643,1.850782297,11.74189734,0.566096435,0.782948677
Rurouni Kenshin,1994,0,30,114,110.7333333,1.640840194,744,7.6,0.793556693,0.862068966,1.953044078,-0.415049586,0.778070348,2.068467403,2.10592044,0.558888889,0.057653275,1.70644409,11.48104241,0.386773927,0.669665575
Sailor Moon,1992,1,34,227,145.4117647,1.468475353,900,13.35294118,0.598811141,1,2.232122233,-0.376501307,0.815230311,1.608361948,1.370530727,0.751730104,0.033798817,1.613593572,11.36948827,0.473595851,0.84840113
Saint Seiya,1986,0,31,106,56.38709677,1.372816302,357,6.838709677,0.698909541,0.633333333,1.596947326,-0.016664916,0.690309719,1.714149283,2.412695675,0.49219563,0.021883318,1.508536976,8.421000169,0.665260273,0.928408942
Sakigake!! Otokojuku,1985,0,33,198,146.969697,1.337342221,733,12,0.688713728,0.96875,2.214216041,-0.497020845,0.849565847,1.777108468,1.526904389,0.674931129,0.03622009,1.290429901,9.149569088,0.515021261,0.906925179
Samurai Deeper Kyo,1999,0,22,65,102.8181818,1.608760787,643,5.909090909,0.780380729,0.952380952,2.327483034,-0.405130921,0.792338802,1.854561986,2.04657194,0.566115702,0.062461542,1.793115886,13.33651343,0.417700428,0.651666217
Sangokushi,1971,0,40,105,43.7,2.314123504,471,5.25,0.928998681,0.666666667,1.292902429,-0.350398041,0.673007784,1.351236473,1.329539518,0.295,0.021926077,2.233115798,11.73714277,0.619067367,0.845781531
Seito Shokun!,1977,1,35,230,268.4,1.66202644,1661,13.14285714,0.62614734,0.911764706,2.693920179,-0.404473275,0.834828392,1.876389296,1.828393751,0.767346939,0.067404926,1.757866182,14.35189203,0.479844262,0.969928278
Sensual Phrase,1997,1,19,70,121.0526316,1.571873528,657,7.368421053,0.582832633,0.944444444,2.696476296,-0.30080791,0.881632111,1.217590626,1.264150158,0.432132964,0.073547679,2.095062483,16.96598976,0.468694342,0.715942434
Seraph of the End,2012,0,30,120,91.86666667,1.613354768,653,8,0.739509973,0.827586207,1.649985386,-0.395670717,0.797372073,2.093578621,1.89637279,0.637777778,0.044077737,1.749270211,11.53722943,0.454530166,0.729949321
Shaman King,1998,0,33,139,163.7575758,1.425755803,913,8.424242424,0.778143278,0.84375,2.446953688,-0.309603318,0.825770234,2.928153586,2.107353366,0.53902663,0.047934868,1.594738469,11.49982264,0.470169584,0.866697379
Shoot!,1990,0,30,152,161.4,1.517288707,968,10.13333333,0.678812206,0.896551724,1.92734374,-0.411697515,0.807282804,2.231995323,2.048445617,0.658888889,0.0299749,1.636736405,11.98660343,0.513174196,0.914195023
Shura no Mon,1987,0,18,58,213.8888889,1.270320969,922,6.444444444,0.522956927,1,3.450786692,-0.282499213,0.815457681,2.265549042,2.364509646,0.709876543,0.088155837,1.340772043,12.56564043,0.421482615,0.719856545
Silver Fang -The Shooting Star Gin-,1983,0,31,151,107.1612903,1.47000174,621,9.741935484,0.595105985,0.8,1.936014808,-0.334185898,0.766362527,1.956265677,2.117364427,0.603537981,0.040805202,1.594293897,10.85087491,0.464735705,0.767145872
Silver Spoon,2011,0,41,251,115.0731707,1.597212733,1036,12.24390244,0.670779576,0.975,1.742049803,-0.271597018,0.785501166,2.269250571,2.561442088,0.712076145,0.03660077,1.920854654,11.73405964,0.499118793,0.902457401
Sket Dance,2007,0,57,281,117.7192982,2.247698809,1354,9.859649123,1.022993956,0.892857143,1.928137041,-0.382408107,0.797625736,2.497543575,1.910533966,0.582025239,0.037533652,2.343488736,14.03006315,0.366788571,0.712773173
Skip Beat!,2002,1,26,89,87.76923077,1.546480718,656,6.846153846,0.742253688,1,2.120344564,-0.373319565,0.806171905,2.632425228,3.084332585,0.581360947,0.045089937,1.769796749,12.290951,0.394707037,0.616512772
Slam Dunk,1990,0,22,146,351.5454545,0.936708933,1312,13.27272727,0.36430373,1,2.924576896,-0.208660582,0.85487548,1.865062684,1.944978952,0.832644628,0.070736595,1.099932886,10.40849552,0.534070947,1.045563724
Soul Eater,2004,0,32,147,156.3125,1.242404868,673,9.1875,0.645326933,0.64516129,2.020326772,-0.145556431,0.780538596,2.786093174,2.820455452,0.6015625,0.064779113,1.25849123,8.949966129,0.447011983,0.815884103
Sukeban Deka,1975,1,41,138,36.48780488,1.679625961,354,6.731707317,0.891319076,0.875,1.588970364,-0.273359546,0.737157016,1.842402552,1.90267466,0.417013682,0.021292183,2.085789833,10.19224756,0.459464267,0.663829681
Super Radical Gag Family,1993,0,65,401,180.1230769,1.783777552,1790,12.33846154,0.866548556,0.734375,2.033222174,-0.305856327,0.839740125,2.367557217,2.381737281,0.540591716,0.046129564,1.785167611,11.24252279,0.441749117,0.951217323
Tenshi Nanka Ja Nai,1991,1,31,160,166.9677419,1.633607697,1142,10.32258065,0.598386502,0.933333333,2.607058058,-0.229010563,0.81814495,1.779593777,2.063667872,0.697190427,0.05998552,1.913858177,14.41246749,0.490624804,0.874775015
The Kindaichi Case Files,1992,0,41,271,230.1463415,1.176243183,1526,13.2195122,0.475062694,1,2.383219842,-0.185857219,0.913752615,1.303532331,1.468868224,0.693634741,0.043701296,1.500803692,10.97367859,0.531625125,1.081154692
The Knight in the Area,2006,0,24,113,131.4166667,1.405775798,748,9.416666667,0.578344144,0.956521739,2.326968456,-0.354937262,0.837710846,1.965386998,1.834675983,0.671875,0.05100926,1.635292573,12.34618818,0.456257482,0.754689046
The Prince of Tennis,1999,0,33,232,208.9090909,1.173966604,1089,14.06060606,0.529023496,0.90625,1.88021788,-0.041048727,0.79345447,1.943378008,1.42376606,0.687786961,0.044201143,1.260166302,9.373920773,0.523098286,1.012906138
The Promised Neverland,2016,0,22,142,295,1.294688143,1201,12.90909091,0.407173818,1,2.83038345,-0.334554889,0.864683382,1.452927446,1.603643143,0.907024793,0.089954276,1.408733762,13.08820429,0.415259523,0.806058969
The Quintessential Quintuplets,2017,0,11,36,432.7272727,0.864536257,1081,6.545454545,0.376283811,1,2.846372354,-0.422037422,0.861327561,1.561784141,1.511965606,0.958677686,0.176442724,0.953864215,11.81966148,0.465004298,0.823911669
The Rose of Versailles,1972,1,50,233,59.64,1.716407599,522,9.32,0.87810991,0.673469388,1.722016013,-0.350500067,0.743893041,2.007928724,2.321674908,0.4668,0.021683485,1.899309782,10.33336239,0.401410497,0.646818086
The Seven Deadly Sins,2012,0,27,115,136.8888889,1.627676934,798,8.518518519,0.695135678,0.884615385,1.919559346,-0.408018163,0.739906309,2.1037507,2.089182601,0.497942387,0.062056576,1.587856414,11.63625813,0.451885731,0.775764813
The Tale of Genji,1979,1,49,215,52.85714286,2.066745995,744,8.775510204,0.913447401,0.9375,1.679875849,-0.350263992,0.736237232,2.17998762,2.27185553,0.578925448,0.023266416,2.293108419,12.40944902,0.368284607,0.578790576
To Love Ru,2006,0,26,110,164.4615385,1.631491385,946,8.461538462,0.730900045,0.96,2.516946614,-0.487829839,0.845948353,1.556259526,1.463830919,0.593195266,0.060005825,1.722059321,13.69343298,0.411897062,0.722718168
Tokimeki Tonight,1982,1,23,113,194,1.251764063,955,9.826086957,0.535708971,0.772727273,2.657937475,-0.279284961,0.815379292,1.569718692,1.610008375,0.678638941,0.060848952,1.392936569,12.07366972,0.447523963,0.773123514
Toriko,2008,0,21,66,67.14285714,1.882694613,461,6.285714286,0.630929176,0.85,1.537327447,-0.280248634,0.69844463,1.949912022,2.426427592,0.399092971,0.051032537,2.096225435,14.18782669,0.537806937,0.743755077
Touch,1981,0,26,114,121.0769231,1.563253309,677,8.769230769,0.649952054,0.88,2.24602932,-0.410920207,0.788229524,2.35402408,2.046507806,0.699704142,0.052510066,1.728847607,12.64543006,0.440514787,0.728224297
Tsubasa: Reservoir Chronicle,2003,0,25,103,163.92,1.443085229,870,8.24,0.709535394,0.916666667,2.036115831,-0.469735828,0.805053695,1.977915916,1.906849815,0.6656,0.06049187,1.437114567,11.03494388,0.506600316,0.878650496
Urusei Yatsura,1978,0,50,224,99.76,2.168210464,1177,8.96,0.998733653,0.93877551,1.862648759,-0.428065451,0.83509096,1.978579289,1.628664377,0.4932,0.036411223,2.392650587,14.25586116,0.419897495,0.755704804
Ushio and Tora,1990,0,25,93,113.44,1.473923951,705,7.44,0.68648988,0.958333333,2.195624754,-0.342816411,0.814103048,1.571646078,1.946645584,0.6384,0.055208797,1.647365667,12.15483503,0.47039284,0.74747278
Video Girl Ai,1989,0,13,34,123.8461538,1.340652692,551,5.230769231,0.541528019,1,2.363404116,-0.420684439,0.718620269,1.730115984,1.86438665,0.597633136,0.108704746,1.461754526,13.65240925,0.311101313,0.462090257
We Were There,2002,1,11,30,144.7272727,1.350953822,556,5.454545455,0.484194635,1,2.211085915,-0.554160126,0.848701299,1.641296891,2.119931412,0.809917355,0.134759362,1.521545938,15.59120631,0.298843056,0.441576878
Worst,2001,0,63,329,52.6031746,1.36527902,411,10.44444444,0.77291253,0.564516129,1.428280192,0.19197421,0.689381177,2.37152982,2.182502439,0.366591081,0.015620415,1.564071932,7.429341675,0.590408789,0.922874551
X,1992,1,20,92,85.1,1.043157312,362,9.2,0.425998216,0.894736842,1.809062344,-0.28561039,0.768865032,2.456373111,1.995730255,0.8475,0.054959083,1.125951433,8.185442347,0.43903125,0.6494704
Yona of the Dawn,2009,1,20,81,108.4,1.362710069,570,8.1,0.561558786,0.947368421,1.701055546,-0.385026392,0.80182827,1.917662927,2.382360511,0.7525,0.055575622,1.562385714,12.18761006,0.420740357,0.646778903
Yowamushi Pedal,2008,0,17,63,141.2941176,1.087033386,584,7.411764706,0.585475497,0.875,2.058885877,-0.497268953,0.691253191,2.015542052,1.888120881,0.647058824,0.057487214,1.434238444,12.0148159,0.548492529,0.834809387
Yu-Gi-Oh!,1996,0,27,93,114.8888889,1.650064278,806,6.888888889,0.878403149,0.961538462,1.847711488,-0.537593155,0.794552121,1.936537489,2.244574853,0.585733882,0.057655705,1.763104192,12.65492748,0.47056146,0.765221296
Yukan Club,1981,1,50,263,138.36,2.124901303,994,10.52,1.003694256,0.836734694,1.964560764,-0.547049425,0.851953494,1.623781595,1.330616853,0.5864,0.035278764,2.063401549,12.62082803,0.439104525,0.864718095
YuYu Hakusho,1990,0,44,162,64.59090909,1.996009993,752,7.363636364,1.047165413,0.976744186,1.640558635,-0.408660175,0.83365598,1.804183789,2.195974812,0.61518595,0.033143881,2.116274481,11.93313391,0.376749857,0.613842064
Zatch Bell!,2001,0,37,124,103.8378378,1.986758314,965,6.702702703,0.958677305,0.888888889,1.873376553,-0.379808315,0.761737767,1.280903285,2.119670729,0.485025566,0.053802806,2.085210617,13.66934257,0.316399086,0.557569234
